threshold,accuracy,acceptance_rate,fnr,tnr,tpr,fpr,ece,brier,tp,fp,tn,fn,precision,recall,f1_score,correct,total
0.8081,0.4700,0.0000,1.0000,1.0000,0.0000,0.0000,0.3051,0.3033,0,0,47,53,0.0000,0.0000,0.0000,47,100
0.8182,0.4700,0.0000,1.0000,1.0000,0.0000,0.0000,0.3051,0.3033,0,0,47,53,0.0000,0.0000,0.0000,47,100
0.8283,0.4700,0.0000,1.0000,1.0000,0.0000,0.0000,0.3051,0.3033,0,0,47,53,0.0000,0.0000,0.0000,47,100
0.8384,0.4700,0.0000,1.0000,1.0000,0.0000,0.0000,0.3051,0.3033,0,0,47,53,0.0000,0.0000,0.0000,47,100
0.8485,0.4700,0.0000,1.0000,1.0000,0.0000,0.0000,0.3051,0.3033,0,0,47,53,0.0000,0.0000,0.0000,47,100
0.8586,0.4700,0.0000,1.0000,1.0000,0.0000,0.0000,0.3051,0.3033,0,0,47,53,0.0000,0.0000,0.0000,47,100
0.8687,0.4700,0.0000,1.0000,1.0000,0.0000,0.0000,0.3051,0.3033,0,0,47,53,0.0000,0.0000,0.0000,47,100
0.8788,0.4700,0.0000,1.0000,1.0000,0.0000,0.0000,0.3051,0.3033,0,0,47,53,0.0000,0.0000,0.0000,47,100
0.8889,0.4700,0.0000,1.0000,1.0000,0.0000,0.0000,0.3051,0.3033,0,0,47,53,0.0000,0.0000,0.0000,47,100
0.8990,0.4700,0.0000,1.0000,1.0000,0.0000,0.0000,0.3051,0.3033,0,0,47,53,0.0000,0.0000,0.0000,47,100
0.9091,0.4700,0.0000,1.0000,1.0000,0.0000,0.0000,0.3051,0.3033,0,0,47,53,0.0000,0.0000,0.0000,47,100
0.9192,0.4700,0.0000,1.0000,1.0000,0.0000,0.0000,0.3051,0.3033,0,0,47,53,0.0000,0.0000,0.0000,47,100
0.9293,0.4700,0.0000,1.0000,1.0000,0.0000,0.0000,0.3051,0.3033,0,0,47,53,0.0000,0.0000,0.0000,47,100
0.9394,0.4700,0.0000,1.0000,1.0000,0.0000,0.0000,0.3051,0.3033,0,0,47,53,0.0000,0.0000,0.0000,47,100
0.9495,0.4700,0.0000,1.0000,1.0000,0.0000,0.0000,0.3051,0.3033,0,0,47,53,0.0000,0.0000,0.0000,47,100
0.9596,0.4700,0.0000,1.0000,1.0000,0.0000,0.0000,0.3051,0.3033,0,0,47,53,0.0000,0.0000,0.0000,47,100
0.9697,0.4700,0.0000,1.0000,1.0000,0.0000,0.0000,0.3051,0.3033,0,0,47,53,0.0000,0.0000,0.0000,47,100
0.9798,0.4700,0.0000,1.0000,1.0000,0.0000,0.0000,0.3051,0.3033,0,0,47,53,0.0000,0.0000,0.0000,47,100
0.9899,0.4700,0.0000,1.0000,1.0000,0.0000,0.0000,0.3051,0.3033,0,0,47,53,0.0000,0.0000,0.0000,47,100
1.0000,0.4700,0.0000,1.0000,1.0000,0.0000,0.0000,0.3051,0.3033,0,0,47,53,0.0000,0.0000,0.0000,47,100
